Core_Competencies,Competency Description ,Score,Proficiency_level,Anchor_value
Numeracy,Understanding numbers and using mathematics to solve problems.,1,Basic,Identify the numerical position of items on a shelf from left to right
Numeracy,Understanding numbers and using mathematics to solve problems.,2,Basic,Check the weight and length of a product against a job ticket
Numeracy,Understanding numbers and using mathematics to solve problems.,3,Basic,Count the amount of change to be given to a customer
Numeracy,Understanding numbers and using mathematics to solve problems.,4,Intermediate,Use a blood pressure machine and accurately record the results
Numeracy,Understanding numbers and using mathematics to solve problems.,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
Numeracy,Understanding numbers and using mathematics to solve problems.,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
Numeracy,Understanding numbers and using mathematics to solve problems.,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
Numeracy,Understanding numbers and using mathematics to solve problems.,8,High,Prepare a report that summarises a business’s current financial position and forecasts future earnings and income 
Numeracy,Understanding numbers and using mathematics to solve problems.,9,High,Develop a mathematical model to simulate and resolve an engineering problem
Numeracy,Understanding numbers and using mathematics to solve problems.,10,High,Write a thesis on asymptotic properties of zero-sets of polynomials in differential equations 
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",1,Basic,"Name and identify the purpose of familiar digital devices (e.g. mobile phone, computer, tablet)"
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",2,Basic,Send a short and simple reply to an email communication using a digital device
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",3,Basic,Enter information into a database
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",5,Intermediate,Build and maintain an effective online profile for career management
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",7,Intermediate,Write software for keeping track of items in an inventory
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",8,High,"Use Enterprise Resource Planning software to monitor transactional data from multiple sources including accounting, procurement and human resources and visualise this data for a company’s strategic plan"
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",9,High,Set up a new computer system for a large multinational company
Digital engagement,"Identifying and using technology (including hardware and software) confidently, creatively and critically.",10,High,"Develop new ways of guaranteeing the trustworthiness of transactions on decentralised, cloud based, distributed transactional systems"
Teamwork,Working effectively with others and personally connecting with others.,1,Basic,Respond to a group instruction
Teamwork,Working effectively with others and personally connecting with others.,2,Basic,Put forward ideas in a meeting when asked to do so
Teamwork,Working effectively with others and personally connecting with others.,3,Basic,Accept and act on guidance from a mentor
