ANZSCO_Code,ANZSCO_Title,ANZSCO_Desc
1111,Chief Executives and Managing Directors,"Chief Executives and Managing Directors determine, formulate and review the general policy programs and the overall direction of organisations within the framework established by boards of directors and similar governing bodies."
1112,General Managers,"General Managers plan, organise, direct, control and review the day-to-day operations and major functions of commercial, industrial, government and defence organisations through departmental managers and subordinate executives."
1213,Livestock Farmers,"Livestock Farmers plan, organise, control, coordinate and perform farming operations to breed and raise livestock."
1214,Mixed Crop and Livestock Farmers,"Mixed Crop and Livestock Farmers plan, organise, control, coordinate and perform farming operations to both grow crops and to breed and raise livestock."
1321,Corporate Services Managers,Corporate Services Managers organise and direct the overall administration of organisations.
1322,Finance Managers,Finance Managers organise and direct the financial and accounting activities within organisations.
1323,Human Resource Managers,Human Resource Managers organise and direct the human resource and workplace relations activities within organisations.
1324,Policy and Planning Managers,Policy and Planning Managers organise and direct policy advice and strategic planning within organisations.
1325,Research and Development Managers,Research and Development Managers organise and direct research and development activities within organisations.
1331,Construction Managers,"Construction Managers organise and direct the construction of civil engineering projects, buildings and dwellings, and the physical and human resources involved in building and construction."
1332,Engineering Managers,Engineering Managers organise and direct the engineering and technical operations of organisations.
1333,"Importers, Exporters and Wholesalers","Importers, Exporters and Wholesalers organise and direct the operations of importing, exporting and wholesaling establishments."
1336,"Supply, Distribution and Procurement Managers","Supply and Distribution Managers organise and direct the supply, storage and distribution of goods produced by organisations."
1341,Child Care Centre Managers,Child Care Centre Managers organise and direct the activities of childcare centres and services including physical and human resources.
1342,Health and Welfare Services Managers,Health and Welfare Services Managers organise and direct the professional and administrative aspects of health and welfare programs and services.
1343,School Principals,"School Principals organise and direct the educational and administrative aspects of primary, middle or intermediate, and secondary schools including physical and human resources."
1344,Education Managers,"Education Managers organise and direct educational policy, and provide advice and educational and administrative support to staff and students in educational institutions."
1351,ICT Managers,"ICT Managers organise and direct the acquisition, development, maintenance and use of computer and telecommunication systems within organisations."
1411,Cafe and Restaurant Managers,"Cafe and Restaurant Managers organise and control the operations of cafes, restaurants and related establishments to provide dining and catering services."
1413,Hotel and Motel Managers,"Hotel and Motel Managers organise and control the operations of hotels and motels to provide guest accommodation, meals and other services."
