ANZSCO_Code,ANZSCO_Title,Specialist_Task,% of time spent on task,Specialist_Cluster,% of time spent on cluster,Cluster_Family,% of time spent on family
1111,Chief Executives and Managing Directors,Direct financial operations,0.1562415324,"Manage, monitor and undertake financial activities",0.1562415324,Business operations and financial activities,0.5217611207
1111,Chief Executives and Managing Directors,"Direct organisational operations, projects or services",0.1340186756,"Manage services, staff or activities",0.2553227233,Business operations and financial activities,0.5217611207
1111,Chief Executives and Managing Directors,"Direct sales, marketing or customer service activities",0.09698041708,"Manage services, staff or activities",0.2553227233,Business operations and financial activities,0.5217611207
1111,Chief Executives and Managing Directors,Confer with peers to accomplish work,0.07985207846,Communicate and collaborate,0.09001356522,Communication and collaboration,0.1068608666
1111,Chief Executives and Managing Directors,Analyse data to assess operational or project effectiveness,0.07807747382,Use data to inform operational decisions,0.1210317802,"Data, analytics, and databases",0.1210317802
1111,Chief Executives and Managing Directors,Manage human resources activities,0.04546252961,Undertake human resources activities ,0.08667662571,Human resources,0.1481226185
1111,Chief Executives and Managing Directors,Analyse data to inform operational decisions or activities,0.04295430637,Use data to inform operational decisions,0.1210317802,"Data, analytics, and databases",0.1210317802
1111,Chief Executives and Managing Directors,Communicate organisational policies and procedures,0.0412140961,Undertake human resources activities ,0.08667662571,Human resources,0.1481226185
1111,Chief Executives and Managing Directors,Manage construction activities,0.03381746422,Manage construction or production projects,0.03381746422,Work activities preparation,0.03381746422
1111,Chief Executives and Managing Directors,Prepare staff schedules or work assignments,0.03153541401,Schedule staff or assign work,0.03153541401,Human resources,0.1481226185
1111,Chief Executives and Managing Directors,Resolve employee or contractor problems,0.02991057883,Resolve human resources issues,0.02991057883,Human resources,0.1481226185
1111,Chief Executives and Managing Directors,Develop organisational policies or programs,0.02982647514,Establish organisational policies or programs,0.05965295028,Business operations and financial activities,0.5217611207
1111,Chief Executives and Managing Directors,Implement organisational process or policy changes,0.02982647514,Establish organisational policies or programs,0.05965295028,Business operations and financial activities,0.5217611207
1111,Chief Executives and Managing Directors,"Negotiate contracts for transportation, distribution or logistics services",0.02952697887,Negotiate purchases or contracts,0.02952697887,Business operations and financial activities,0.5217611207
1111,Chief Executives and Managing Directors,Direct administrative or support services,0.02432363062,"Manage services, staff or activities",0.2553227233,Business operations and financial activities,0.5217611207
